id|country|searchterm|job_title|company|job_location|time|applicants|workplace|working_time|job_level|company_size|industry|job_details|job_url|timestamp
16|Italy|Fullstack Developer|Java Fullstack Developer - azienda finale|Michael Page|Turin, Piedmont, Italy|3 weeks ago| |On-site|Full-time|Entry level|5,001-10,000 employees|Staffing and Recruiting|"
          Inserimento diretto in aziendafinale, a tempo indeterminato|Ottima opportunità di carriera e formazione interna certificata


About Our Client

La nostra azienda cliente è una realtà storica, attiva sul mercato da diversi decenni, leader di mercato nell'offerta di servizi in ambito turistico. Per ampliamento dell'organico interno, siamo alla ricerca di una figura di Java Fullstack Developer.

Job Description

La risorsa, inserita in team, si occuperà di attività di programmazione finalizzate allo sviluppo di web applications, lavorando sia lato backend che frontend per quanto riguarda analisi dei requisiti, scrittura del codice, implementazione, evolutive, bug fixing, testing e redazione della documentazione tecnica. Seguirà il progetto in toto, creando soluzioni altamente scalabili, con particolare attenzione alla qualità del codice.

The Successful Applicant

Il candidato ideale è diplomato o laureato in discipline tecnico scientifiche, e ha maturato almeno 2 anni di esperienza in attività di sviluppo di web services, utilizzando il linguaggio Java (nelle sue ultime versioni), framework Spring e Javascript lato frontend; è inoltre richiesta una buona conoscenza dei principali database relazionali, e del tool di build automation Maven.

Competenze acquisite su almeno uno fra gli application server Tomcat e JBoss, e sul tool di versioning Git, saranno considerate requisiti preferenziali.

Completa il profilo una buona conoscenza della lingua inglese, scritta e parlata, ottime doti relazionali e comunicative, e buone capacità di lavoro in team.

What's On Offer

Ottima opportunità di carriera interna e formazione certificata.

Previsto smart working parizale.

Sede di lavoro: Torino centro

Contact: Carola Colla

Quote job ref: JN-032021-2446209
    "|https://www.linkedin.com/jobs/view/3181307612|2022-07-25 14:19:53.053151
17|Italy|Fullstack Developer|Fullstack Developer - Pisa|Starfinder Srl|Pisa, Tuscany, Italy|21 hours ago| |On-site|Full-time|Entry level|1-10 employees|Staffing and Recruiting|"
          Starfinder, agenzia di selezione del personale dedicata esclusivamente al settore ICT (www.starfinder.it), ricerca un Fullstack Developer per importante azienda di sviluppo software. Il profilo ricercato sarà inserito all'interno del team di sviluppo e si occuperà di progettazione, sviluppo e test di sistemi gestionali complessi e dell'implementazione di features innovative per i clienti.

Requisiti

Il candidato ideale ha tra 3 e 6 anni di esperienza nel ruolo e possiede le seguenti caratteristiche:
Conoscenza linguaggio Java Conoscenza Javascript, HTML5, CSS3 Conoscenza di Angular2+ Conoscenza RDBMS Oracle Conoscenza framework Spring MVC Conoscenza Hibernate Conoscenza servizi REST e SOAP 
Gradita conoscenza Db non relazionali (MongoDB).

La retribuzione sarà commisurata alla seniority rilevata in fase di colloquio e indicativamente si situerà tra i 28.000 e i 38.000 euro lordi/anno.
    "|https://www.linkedin.com/jobs/view/3187274572|2022-07-25 14:20:09.035080
18|Italy|Fullstack Developer|Fullstack Golang Developer • Enter the Blockchain Industry • Up to circa. €130k / £120k|Blockchain 121|European Union|2 days ago|17 applicants|Remote|Full-time|Mid-Senior level|1-10 employees|Human Resources Services|"
          Fullstack Golang Developer • Enter the Blockchain Industry
Salary: €100k-€135k / £90k-£120kContract: Full-Time and available as B2B/contractorLocation: Remote within Europe

I have an exciting role with a global team of industry leading experts focused on creating the future of blockchain mining. Their mission is to be the world’s largest, vertically integrated blockchain service provider.

About the Role
They are looking for an ambitious Golang Fullstack Developer who possesses a strong understanding of how best to leverage and exploit the language’s unique paradigms, idioms and syntax.
Your primary focus will be on developing Go applications that are scalable (think a terabyte of data every 10 minutes, 24/7), maintainable, well-documented and has a reasonable test coverage. You will coordinate with the rest of the team working on different layers of the infrastructure. A commitment to collaborative problem solving, sophisticated design, and quality product is essential.

Responsibilities
Writing scalable, robust, testable, efficient, and easily maintainable codeWrite scalable applications that process terabytes of data 24/7Translating software requirements into stable, working, high performance softwarePlaying a key role in architectural and design decisions, building toward an efficient micro services distributed architecture

Skills
Fluent in English.Excellent communication skills - both written, and oral.3+ years of experience with the Go language (and a strong knowledge of Go idioms and libraries).Experience designing and developing gRPC and RESTful APIs.Knowledge of common Goroutine and channel patternsFrontend experience is a plus: React, CSS, Next.jsExposure to DevOps is desirable: Docker, Kubernetes, AWS, CI/CD pipelinesAbility to implement high performance high available enterprise applications


The development is agile and fast paced. As requirements evolve, the candidate will work on both internal tools and open source technology. You will be encouraged to prototype and experiment with new technologies, and by doing so, shape the architecture going forward. In this role the candidate will be involved in a broad range of tasks, be part of a committed international team and have a unique opportunity to and learn about crypto mining and transaction processing on an enterprise level blockchain.
If this opportunity sounds of interest to you or a colleague, please do get in touch to discuss further details.
    "|https://www.linkedin.com/jobs/view/3180504855|2022-07-25 14:20:22.545975
19|Italy|Fullstack Developer|Fullstack Developer - Milano|Starfinder Srl|Milan, Lombardy, Italy|1 day ago| |On-site|Full-time|Entry level|1-10 employees|Staffing and Recruiting|"
          Compiti

Starfinder, agenzia di selezione del personale dedicata esclusivamente al settore ICT, ricerca un Fullstack Developer per importante azienda di sviluppo software. Il profilo ricercato sarà inserito all'interno del team di sviluppo e si occuperà di progettazione, sviluppo e test di sistemi gestionali complessi e dell'implementazione di features innovative per i clienti.

Requisiti

Il candidato ideale ha tra 3 e 6 anni di esperienza nel ruolo e possiede le seguenti caratteristiche:
Conoscenza linguaggio JavaConoscenza Javascript, HTML5, CSS3Conoscenza di Angular2+Conoscenza RDBMS OracleConoscenza framework Spring MVCConoscenza HibernateConoscenza servizi REST e SOAP
Gradita conoscenza Db non relazionali (MongoDB).

L'azienda offre possibilità di collaborazioni in smartwork (2 giorni in ufficio, 3 giorni da remoto).

La retribuzione sarà commisurata alla seniority rilevata in fase di colloquio e indicativamente si situerà tra i 28.000 e i 38.000 euro lordi/anno.
    "|https://www.linkedin.com/jobs/view/3185895477|2022-07-25 14:20:36.421314
20|Italy|Fullstack Developer|Full Stack Engineer|Transition Partners|European Union|1 hour ago| |Remote|Full-time|Entry level|11-50 employees|Staffing and Recruiting|"
          There are so many opportunities in the market at the moment, so let me take a moment to explain why this opportunity is the one to pay attention to!

We are currently working with a large Berlin based HealthTech company who are on the lookout for a Fullstack Developer to join them whilst they expand their existing tech team! You will have a vast opportunity for your own growth and development within the company as they really take pride in their business being a place where employees can establish long lasting careers whilst working on cool projects!

They are a technology-driven digital health company who have helped more than 100 million people achieve their health goals using their latest technology. With the ability to work Fully Remotely, anywhere within -/+2 hours from the CET Timezone, this is an excellent opportunity to join an expanding technology-first company to drive your career forward!

What will I do?
· Write scalable and effective code· Test applications for responsiveness, performance and security· Communicate with team members across the department· Gain in-depth understanding of their core product and inner workings

What do I need?
· 2+ years experience with Golang and React· Bachelors in Computer Science (Beneficial, not necessary)· Problem solving skills· Willingness to learn· Team spirit

What will I get in return?
· A competitive salary of up to €50K· Internal Corporate Health Program· Coaching - Learn from Leaders in every department!· Flexible Work Environment· Remote Working· Employee Discounts

If you think you have what it takes, then we encourage you to apply today to find out more!
Unfortunately, we may struggle to respond to every applicant, Transition Partners get a high response rate on their advertisements and will be in touch if they feel your candidature is suitable for the advertised vacancy.
We will process your CV and personal information to assess your suitability for the role. If we wish to consider you further, we will register your personal information in our database and contact you. We may contact you from time to time about other relevant roles. Your personal information will be securely held.
    "|https://www.linkedin.com/jobs/view/3179841477|2022-07-25 14:20:45.243289
21|Italy|Fullstack Developer|SOFTWARE ENGINEER - SMART MOBILITY|Reverse|Treviso, Veneto, Italy|3 weeks ago|1 applicant|On-site|Full-time|Entry level|51-200 employees|Staffing and Recruiting|"
          DESCRIZIONE AZIENDA

Realtà consolidata che opera nel mondo dei veicoli connessi, sviluppa soluzioni complete e customizzate di IoT, Smart Mobility e Piattaforme Digitali Evolute per operatori di mobilità.

Stiamo ricercando per la sede di Treviso un Software Engineer che si inserirà all'interno del team di Ricerca e Sviluppo.

ATTIVITA' E RESPONSABILITA'
Ti dedicherai allo sviluppo di prodotti specifici quali: piattaforme di smart mobility, sistemi antifrode ed informativi dedicati alla gestione delle flotte aziendali. Refactoring di applicazioni esistenti verso un paradigma orientato ai microservizi.Costruzione e miglioramento incrementale della piattaforma di mobilità attraverso la collaborazione con sviluppatori in diversi team.Sviluppo e ingegnerizzazione di applicazioni di stream processing altamente disponibili e facilmente scalabili
QUALI COMPETENZE TECNICHE VERIFICHEREMO?
Hai un diploma o laurea in discipline tecniche, preferibilmente in Ingegneria Informatica o Elettronica. Hai maturato un'esperienza nel ruolo o come: Fullstack Developer, Backend Engineer, Data Engineer. Hai una buona conoscenza di: Java 8 (o versioni superiori); Spring Framework; Kafka; Kotlin. 
CERCHIAMO PROPRIO TE
Se cerchi un contesto in forte crescita e che punta sulla formazione dei propri dipendenti. Se vuoi inserirti in un team tecnico altamente qualificato.Se vuoi partecipare a progetti che prevedono l'utilizzo di tecnologie innovative. 
Questa è la posizione che fa per te!

Sede di Lavoro Treviso
    "|https://www.linkedin.com/jobs/view/3147364107|2022-07-25 14:21:00.165550
22|Italy|Fullstack Developer|Software Developer|Eniac SpA|Padua, Veneto, Italy|2 months ago|11 applicants|Hybrid|Full-time|Entry level|11-50 employees|Staffing and Recruiting|"
          Siamo alla ricerca di figure da integrare nel nostro team come Analista e Sviluppatore Software ERP per la sede di Padova
Eniac S.p.A. S.B. attraverso la sua struttura solida e flessibile è presente nelle proprie sedi a Padova promuove dal 1986 l’avvenire dell’IT con un’offerta ampia e specializzata che porta al successo i suoi Clienti offrendo loro soluzioni immediate, efficienti ed efficaci.
Per espandere il team, Eniac cerca Analista e Sviluppatore Software ERP per la gestione, sviluppo, manutenzione ed evoluzioni di applicazioni ERP e CRMLa figura riporterà al Responsabile BU. La sede di lavoro è Padova (PD) presso la Torre Net Center
I Compiti principali:Raccolta delle esigenze, analisi dei requisiti e di fattibilitàCondivisione dei dettagli di progetto per tradurli in requisiti software e di sistemaStesura di documentazione funzionaleValutazione di modifiche a livello di specifiche e relativo impattoSviluppo di implementazioni/modifiche/estensioni per le applicazioni ERPGestione e supporto su bug e problematiche di processo, coordinamento/risoluzione problemi, miglioramento procedure applicativeSupporto agli utenti di riferimento sulle problematiche applicative tramite Help Desk
Le Competenze più importanti:Fullstack developer nello specifico PHP e js in particolare framework React Nativedatabase quali PostgreSQL, MySQLconoscenza Google Cloud Platform o AWSconoscenza dei processi aziendali in area Amministrativa-Produttiva-Logisticasoftware di versionamento del codicecomandi base shell linuxesperienza almeno 2 anniPHP, C, C#, JavaJavascript, jQuery, CSS e HTMLprogetti personali molto graditi
Le Soft Skill vincenti:Volontà di accrescere competenze e capacitàApproccio orientato al risultato, capacità di operare per obiettivi, problem solvingAttitudine al lavoro in Team, consapevolezza di lavorare per un obiettivo comune considerando la visione d’insieme dei Progetti
La ricerca è per assunzione immediata e a tempo indeterminato.Il package sarà commisurato al livello di esperienza del candidato. Età massima 35 anni, domicilio nella provincia di Padova o limitrofe.Si prega di rispondere allegando il CV in formato pdf.Le candidature più interessanti verranno contattate entro 48 ore.
    "|https://www.linkedin.com/jobs/view/3091935594|2022-07-25 14:21:10.107175
23|Italy|Fullstack Developer|Full stack developer Milano|Atos|Milan, Lombardy, Italy|5 days ago|5 applicants|On-site|Full-time|Entry level|10,001+ employees|IT Services and IT Consulting|"
          Publish Date Jun 29, 2022

Location

Milano, Lombardia, IT-Italy

Company Atos

About Atos

Atos is a global leader in digital transformation with 110,000 employees in 73 countries and annual revenue of € 12 billion. European number one in Cloud, Cybersecurity and High-Performance Computing, the Group provides end-to-end Orchestrated Hybrid Cloud, Big Data, Business Applications and Digital Workplace solutions. The Group is the Worldwide Information Technology Partner for the Olympic & Paralympic Games and operates under the brands Atos, Atos|Syntel, and Unify. Atos is a SE (Societas Europaea), listed on the CAC40 Paris stock index.

The purpose of Atos is to help design the future of the information space. Its expertise and services support the development of knowledge, education and research in a multicultural approach and contribute to the development of scientific and technological excellence. Across the world, the Group enables its customers and employees, and members of societies at large to live, work and develop sustainably, in a safe and secure information space.

Nell’ambito della practice Application Modernization Services di Atos Italia, ricerchiamo un FullStack Developer Java per progetti di sviluppo e Application Management su Clienti del Energy & Utilities.

Il professionista farà parte del Competence Center Custom Applications con il ruolo di

 Full Stack Developer

Le relative responsabilità saranno inerenti sia alla gestione della maintenance applicativa che alla realizzazione di progetti e al supporto di proposte evolutive. Sono richieste le seguenti competenze
Sviluppo componenti applicative Java EE basate sui framework Struts2 e/o SpringRealizzazione servizi REST e SOAPModellazione dati e implementazione layer di persistenza su database relazionali (preferibilmente Oracle)Sviluppo frontend basato su AngularHTML, JavaScript e CSSConoscenza JSPConoscenza dei principali strumenti di versionamento del software (svn, cvs, git)Conoscenza strumenti di CI/CD (es. Jenkins)

Esperienze lavorative
Almeno tre anni di esperienza nello sviluppo Java EEAlmeno due anni di esperienza nello sviluppo frontend 

Costituiranno titolo preferenziale esperienze progettuali su database No Sql e in ambito cloud. 

Soft Skill
Attitudine analitica e orientamento al problem solvingAttitudine alla comunicazione e al lavoro in teamAttitudine alla gestione del clientePassione per l’innovazione

Cosa offriamo
Progetti innovativi e dinamici e in un’organizzazione internazionale ed in forte crescitaPossibilità di differenziare le proprie competenze e sviluppare la propria professionalità in un contesto stimolante e fortemente formativoSfide e ruoli di responsabilità sempre crescenti

Lingue

Italiano, ottima conoscenza dell’inglese scritto e parlato

Istruzione

È preferita la laurea ad indirizzo tecnico/scientifico (es. Ingegneria, Informatica, Matematica)

Sede di Lavoro

Milano o Napoli

Here at Atos, we want all of our employees to feel valued, appreciated, and free to be who they are at work. Our employee lifecycle processes are designed to prevent discrimination against our people regardless of gender identity or expression, sexual orientation, religion, ethnicity, age, neurodiversity, disability status, citizenship, or any other aspect which makes them unique. Across the globe, we have created a variety of programs to embed our Atos culture of inclusivity, and work hard to ensure that all of our employees have an equal opportunity to contribute and feel that they are exactly where they belong.
    "|https://www.linkedin.com/jobs/view/3098974936|2022-07-25 14:21:25.882227
24|Italy|Fullstack Developer|Full stack developer Milano 1|Atos|Naples, Campania, Italy|3 days ago|2 applicants| |Full-time|Entry level|10,001+ employees|IT Services and IT Consulting|"
          Publish Date Jul 4, 2022

Location

Napoli, Campania, IT-Italy

Company Atos

About Atos

Atos is a global leader in digital transformation with 110,000 employees in 73 countries and annual revenue of € 12 billion. European number one in Cloud, Cybersecurity and High-Performance Computing, the Group provides end-to-end Orchestrated Hybrid Cloud, Big Data, Business Applications and Digital Workplace solutions. The Group is the Worldwide Information Technology Partner for the Olympic & Paralympic Games and operates under the brands Atos, Atos|Syntel, and Unify. Atos is a SE (Societas Europaea), listed on the CAC40 Paris stock index.

The purpose of Atos is to help design the future of the information space. Its expertise and services support the development of knowledge, education and research in a multicultural approach and contribute to the development of scientific and technological excellence. Across the world, the Group enables its customers and employees, and members of societies at large to live, work and develop sustainably, in a safe and secure information space.

Nell’ambito della practice Application Modernization Services di Atos Italia, ricerchiamo un FullStack Developer Java per progetti di sviluppo e Application Management su Clienti del Energy & Utilities.

Il professionista farà parte del Competence Center Custom Applications con il ruolo di

 Full Stack Developer

Le relative responsabilità saranno inerenti sia alla gestione della maintenance applicativa che alla realizzazione di progetti e al supporto di proposte evolutive. Sono richieste le seguenti competenze
Sviluppo componenti applicative Java EE basate sui framework Struts2 e/o SpringRealizzazione servizi REST e SOAPModellazione dati e implementazione layer di persistenza su database relazionali (preferibilmente Oracle)Sviluppo frontend basato su AngularHTML, JavaScript e CSSConoscenza JSPConoscenza dei principali strumenti di versionamento del software (svn, cvs, git)Conoscenza strumenti di CI/CD (es. Jenkins)

Esperienze lavorative
Almeno tre anni di esperienza nello sviluppo Java EEAlmeno due anni di esperienza nello sviluppo frontend 

Costituiranno titolo preferenziale esperienze progettuali su database No Sql e in ambito cloud. 

Soft Skill
Attitudine analitica e orientamento al problem solvingAttitudine alla comunicazione e al lavoro in teamAttitudine alla gestione del clientePassione per l’innovazione

Cosa offriamo
Progetti innovativi e dinamici e in un’organizzazione internazionale ed in forte crescitaPossibilità di differenziare le proprie competenze e sviluppare la propria professionalità in un contesto stimolante e fortemente formativoSfide e ruoli di responsabilità sempre crescenti

Lingue

Italiano, ottima conoscenza dell’inglese scritto e parlato

Istruzione

È preferita la laurea ad indirizzo tecnico/scientifico (es. Ingegneria, Informatica, Matematica)

Sede di Lavoro

Milano o Napoli

Here at Atos, we want all of our employees to feel valued, appreciated, and free to be who they are at work. Our employee lifecycle processes are designed to prevent discrimination against our people regardless of gender identity or expression, sexual orientation, religion, ethnicity, age, neurodiversity, disability status, citizenship, or any other aspect which makes them unique. Across the globe, we have created a variety of programs to embed our Atos culture of inclusivity, and work hard to ensure that all of our employees have an equal opportunity to contribute and feel that they are exactly where they belong.
    "|https://www.linkedin.com/jobs/view/3098985030|2022-07-25 14:21:43.097075
25|Italy|Fullstack Developer|Fullstack Developer - Padova|Starfinder Srl|Padua, Veneto, Italy|5 days ago|1 applicant|On-site|Full-time|Entry level|1-10 employees|Staffing and Recruiting|"
          Starfinder, agenzia di selezione del personale dedicata esclusivamente al settore ICT (www.starfinder.it), ricerca un Fullstack Developer per importante azienda di sviluppo software. Il profilo ricercato sarà inserito all'interno del team di sviluppo e si occuperà di progettazione, sviluppo e test di sistemi gestionali complessi e dell'implementazione di features innovative per i clienti.

Requisiti

Il candidato ideale ha tra 3 e 6 anni di esperienza nel ruolo e possiede le seguenti caratteristiche:
Conoscenza linguaggio Java Conoscenza Javascript, HTML5, CSS3 Conoscenza di Angular2+ Conoscenza RDBMS Oracle Conoscenza framework Spring MVC Conoscenza Hibernate Conoscenza servizi REST e SOAP 
Gradita conoscenza Db non relazionali (MongoDB).

L'azienda offre possibilità di collaborazioni in smartwork (2 giorni in ufficio, 3 giorni da remoto).

La retribuzione sarà commisurata alla seniority rilevata in fase di colloquio e indicativamente si situerà tra i 28.000 e i 38.000 euro lordi/anno.
    "|https://www.linkedin.com/jobs/view/3179269189|2022-07-25 14:22:02.032980
26|Italy|Fullstack Developer|Senior Fullstack Developer (Remote Available)|ShippyPro|Florence, Tuscany, Italy|1 week ago|23 applicants|Remote|Full-time|Associate|51-200 employees|Software Development|"
          About Us

We are a SaaS company born in Florence, Italy in 2016 with the mission of simplifying the way people ship, track and return their e-commerce orders by creating a technological layer capable of handling the complexity of Shipping & Logistics.

We are an international scale-up where people from different countries, cultures, and languages work together every day to deliver innovation.

This is reflected in every product we build but also in the attention and care for the people that are working in our company.

We are currently scaling our business by leveraging our technology, our team, and our international culture. We are 60+ people in Europe and we have recently raised Series A funding from US investors, fueling our objectives. It is now time to grow even more and increase our talented tech team with engineers that want to contribute to the development of our products.

Who Are We Looking For

We are looking for a Senior Fullstack Developer to produce scalable software solutions. You’ll be part of a cross-functional team that’s responsible for the full software development life cycle, from conception to deployment.

Location: Our offices are in Florence, Italy. However, this job can be performed fully remotely from anywhere in different European countries ( i.e. Turkey, Greece, Hungary, Croatia, Romania, Bulgary). Timezone -/+3 CET (Central European Time).

Tasks

What You Will Do
Working as part of a product development team, developing new features of our cloud-based solution, hosted in AWS, with quality and efficiencyCollaborate with different teams and colleagues across the company and different disciplines to solve deployment, monitoring, and diagnostic capabilityDesign, build and maintain high traffic, scalable servicesEnd-to-End ownership of what you deliver, including crafting technical specs, writing readable and extensible code, runbooks, and post-release metricsInvestigate and address issues with performance, scalability, and maintainabilityYou will be contributing to the engineering strategy and development, operation, and maintenance of the microservices in our applicationYou will move fast: look for new ideas, quickly prototype, test, and move to production; which includes proposing and adopting new frameworks and technologiesYou'll be working with development and product management teams to define user story acceptance criteria, break down complex stories into tasks, estimates, plan, and then deliver
Requirements

What you will bring to the table:
Proven experience as a Fullstack Developer or similar role (5+ years)Excellent knowledge of PHP and at least one framework (Laravel, Symfony, …)Good knowledge of multiple front-end languages, libraries, and frameworks (e.g. Javascript, React, ...)Knowledge Containers & Container Orchestration-like systems (Docker, Kubernetes, …)Solid understanding of object-oriented programming and familiarity with various design and architectural patternsSoftware package management (composer, NPM, apt, …)Experience with unit and integration testsFamiliarity with databases (e.g. MySQL, MongoDB ) and web servers (e.g. Apache, Nginx)Experience integrating with APIs that use REST, gRPC, SOAP, and other technologiesAbility to work with Agile e Kanban methodologiesFluent Italian and English speakerExcellent communication and teamwork skills
Benefits

What we can offer:
Remote working options. You can either work fully remote, in our state-of-the-art (literally!) office in Florence (right in the city center) or a hybrid solution.Supplementary health care to cover medical, dental, and vision needs.Pick your laptop, we offer a selection to best suit your needs.No clocking in/out. We don’t believe in micromanaging and our working relationships are based on mutual trust, that’s why we don’t require our team to clock in and out of work.Our tech stack is constantly evolving (thanks to people like you!). It is currently hosted in the cloud of AWS, written in PHP and React (Typescript, Redux, Tailwind, …)Growth and learning opportunities. We believe that in order to grow as a company, our team also needs to continue learning and developing.Meal pearks: Whether you are working from home, from the office or from wherever you want, you can enjoy your free restaurant ticket everyday. Getting hungry?Free coffee policy. We are an international team, but our HQ is in Italy, hence we do take coffee breaks very seriously. Hot drinks are on us, and occasionally, Aperitivo too!No dress code. That’s right, no formal attire is required.
We are a people-centric organization with one mission: “Make People Work Better”.

Are you determined to beat off the challenges this role brings? Send your application to join us.
    "|https://www.linkedin.com/jobs/view/3167172473|2022-07-25 14:22:18.949963
27|Italy|Fullstack Developer|PHP Fullstack Developer|Michael Page|Milan, Lombardy, Italy|1 month ago|4 applicants|On-site|Full-time|Entry level|5,001-10,000 employees|Staffing and Recruiting|"
          PHP Fullstack Developer|Software House italiana 


About Our Client

L'Azienda ha sviluppato una piattaforma software proprietaria che consente ai suoi utenti,attraverso i suoi

avanzati algoritmi di analisi dei dati e apprendimento automatico, di produrre rapidamente contenuti digitali

su vari argomenti e in una varietà di linguaggi, senza compromettere la qualità.

La piattaforma integra moduli per l'analisi delle tendenze online e della concorrenza e segnali comportamentali

per alimentare moduli NLP e NLG per la generazione di contenuti basati sull'IA.

Job Description

Ricerchiamo un candidato di talento, con passione e curiosità per l'Intelligenza Artificiale e l'innovazione

digitale, ottime capacità comunicative e relazionali, elevata motivazione e buona attitudine al lavoro di squadra.

Propensione al continuo aggiornamento e capacità di pensare e sviluppare idee innovative.

Il candidato dovrà:
 Sviluppo PHP per migliorare e implementare i nostri servizi SaaS e PaaS Implementare nuove funzionalità su progetti esistenti in Laravel e Symfony Creazione e configurazione di Docker Container Creazione di funzionalità tramite servizi Cloud (AWS, GCP, Azure) Lavorare con AI Data Science Team

The Successful Applicant

Skills:
 Esperienza di almeno 5 anni in ITC o società similari - PHP, JavaScript e MySQL\PostgreSQL - Esperienza con framework Laravel e Symfony, sviluppo con Vue JS \ AngularJS - Buone capacità di programmazione e comprensione delle architetture software - Conoscenza delle API REST - Abilità nell'uso di Git per il controllo della versione del codice - Esperienza con Docker

What's On Offer

Assunzione a tempo indeterminato

Smartworking ibrido

Sede di lavoro: Milano, zona Missori

Contact: Antonio William Fasto

Quote job ref: JN-052022-5615305
    "|https://www.linkedin.com/jobs/view/3157053130|2022-07-25 14:22:33.894698
28|Italy|Fullstack Developer|Fullstack Developer - Trento|Starfinder Srl|Trento, Trentino-Alto Adige, Italy|1 week ago|1 applicant|On-site|Full-time|Entry level|1-10 employees|Staffing and Recruiting|"
          Starfinder, agenzia di selezione del personale dedicata esclusivamente al settore ICT (www.starfinder.it), ricerca un Fullstack Developer per importante software house operante su progetti innovativi in ambito AI e IoT.

La figura ricercata (junior o senior) verrà inserita all’interno di un team di sviluppo e si occuperà dell’analisi e sviluppo di applicazioni software.

Requisiti

Il candidato ideale ha almeno 1 anno di esperienza in ruolo analogo e possiede le seguenti caratteristiche:
Laurea in Informatica o materia equipollente Comprovata conoscenza di Java e del framework Spring Buona conoscenza di almeno un framework di sviluppo frontend (React, Angular e/o Vue) Buona conoscenza di Javascript, HTML, CSS Buona conoscenza della lingua inglese (almeno a livello B2) Capacità di adattamento e voglia di imparare Predisposizione al teamwork e spiccate doti di problem solving Disponibilità ad effettuare eventuali trasferte 
La conoscenza di ulteriori tecnologie come Docker, Kubernetes, .NET, C#, C, C++

L'azienda offre possibilità di collaborazioni in smartwork (2 giorni in ufficio, 3 giorni da remoto).

La retribuzione sarà commisurata alla seniority e allo stack tecnologico conosciuto dal candidato e si situerà tra i 23.000 e i 50.000 euro lordi/anno.
    "|https://www.linkedin.com/jobs/view/3166184939|2022-07-25 14:22:45.987201
29|Italy|Fullstack Developer|Full stack developer Java Napoli|Atos|Naples, Campania, Italy|3 days ago|19 applicants|On-site|Full-time|Entry level|10,001+ employees|IT Services and IT Consulting|"
          Publish Date Jul 12, 2022

Location

Napoli, Campania, IT-Italy

Company Atos

About Atos

Atos is a global leader in digital transformation with 110,000 employees in 73 countries and annual revenue of € 12 billion. European number one in Cloud, Cybersecurity and High-Performance Computing, the Group provides end-to-end Orchestrated Hybrid Cloud, Big Data, Business Applications and Digital Workplace solutions. The Group is the Worldwide Information Technology Partner for the Olympic & Paralympic Games and operates under the brands Atos, Atos|Syntel, and Unify. Atos is a SE (Societas Europaea), listed on the CAC40 Paris stock index.

The purpose of Atos is to help design the future of the information space. Its expertise and services support the development of knowledge, education and research in a multicultural approach and contribute to the development of scientific and technological excellence. Across the world, the Group enables its customers and employees, and members of societies at large to live, work and develop sustainably, in a safe and secure information space.

Nell’ambito della practice Application Modernization Services di Atos Italia, ricerchiamo un FullStack Developer Java per progetti di sviluppo e Application Management su Clienti del settore pubblico.

Il professionista farà parte del Competence Center Custom Applications con il ruolo di

Full Stack Developer

Le relative responsabilità saranno inerenti sia alla gestione della maintenance applicativa che alla realizzazione di progetti e al supporto di proposte evolutive
Conoscenza di tecnologie JEE in particolar modo del Framework Spring; Progettazione di servizi REST, invocazione dei servizi, progettazione e modellazione dati Conoscenza di servizi SOAP Conoscenza strumenti di CI/CD (es. Jenkins) Conoscenza database relazionali (preferibilmente MS SQL Server) Framework Vue.js, JavaScript e CSS Conoscenza JSP Conoscenza dei principali strumenti di versionamento del software (svn, cvs, git) 

Esperienze lavorative
Almeno tre anni di esperienza nell’utilizzo del Framework Spring con modello MVC Almeno due anni di esperienza nell’utilizzo di servizi REST Almeno due anni di esperienza nello sviluppo frontend (JavaScript, Angular o Vue.js, CSS) 

Costituirà titolo preferenziale la conoscenza dei processi legati all’erogazione di finanziamenti e di coperture assicurative

Soft Skill
Attitudine analitica e orientamento al problem solving Attitudine alla comunicazione e al lavoro in team Attitudine alla gestione del cliente Passione per l’innovazione 

Cosa offriamo
Progetti innovativi e dinamici e in un’organizzazione internazionale ed in forte crescita Possibilità di differenziare le proprie competenze e sviluppare la propria professionalità in un contesto stimolante e fortemente formativo Sfide e ruoli di responsabilità sempre crescenti 

Lingue

Italiano, ottima conoscenza dell’inglese scritto e parlato

Istruzione

È preferita la laurea ad indirizzo tecnico/scientifico (Ingegneria Informatica, Informatica, Statistica) o esperienza lavorativa equivalente

Sede di Lavoro

Napoli 

Here at Atos, we want all of our employees to feel valued, appreciated, and free to be who they are at work. Our employee lifecycle processes are designed to prevent discrimination against our people regardless of gender identity or expression, sexual orientation, religion, ethnicity, age, neurodiversity, disability status, citizenship, or any other aspect which makes them unique. Across the globe, we have created a variety of programs to embed our Atos culture of inclusivity, and work hard to ensure that all of our employees have an equal opportunity to contribute and feel that they are exactly where they belong.
    "|https://www.linkedin.com/jobs/view/2881117819|2022-07-25 14:23:14.039583
